»Ìslo;N·zev;VoliËi v seznamu;VydanÈ ob·lky;VolebnÌ ˙Ëast v %;OdevzdanÈ ob·lky;PlatnÈ hlasy; % platn˝ch hlas˘;ObËansk· demokratick· strana;ÿ·d n·roda - Vlasteneck· unie;CESTA ODPOVÃDN… SPOLE»NOSTI;»esk· str.soci·lnÏ demokrat.;RadostnÈ »esko;STAROSTOV… A NEZ¡VISLÕ;Komunistick· str.»ech a Moravy;Strana zelen˝ch;ROZUMNÕ-stop migraci,dikt·t.EU;Strana svobodn˝ch obËan˘;Blok proti islam.-Obran.domova;ObËansk· demokratick· aliance;»esk· pir·tsk· strana;Referendum o EvropskÈ unii;TOP 09;ANO 2011;Dobr· volba 2016;SPR-Republ.str.»sl. M.Sl·dka;K¯esù.demokr.unie-»s.str.lid.;»esk· strana n·rodnÏ soci·lnÌ;REALIST…;SPORTOVCI;DÏlnic.str.soci·lnÌ spravedl.;Svob.a p¯.dem.-T.Okamura (SPD);Strana Pr·v ObËan˘
597686;NorberËany;232;120;51,72;120;120;100,00;5;1;0;14;0;2;23;2;0;0;0;0;6;0;1;49;0;2;2;0;0;0;0;13;0
552381;Nov· HradeËn·;647;389;60,12;389;386;99,23;32;0;0;17;0;93;28;0;1;4;0;0;25;0;12;109;0;1;23;0;0;3;0;37;1
552259;Olbramice;183;112;61,20;110;108;98,18;6;0;1;3;0;0;20;0;1;1;1;1;6;0;3;35;0;1;12;0;0;0;0;17;0
500496;Olomouc;80†719;48†850;60,52;48†806;48†525;99,42;5†718;62;34;3†740;35;1†791;2†949;976;251;832;68;99;5†425;21;2†894;13†676;41;41;3†663;11;416;158;73;5†333;218
504785;Paseka;1†077;598;55,52;594;594;100,00;48;0;2;40;0;28;51;7;9;12;2;0;44;0;19;195;0;2;51;1;1;1;4;75;2
552160;PÚovice;752;470;62,50;470;468;99,57;34;1;0;23;0;26;47;4;6;13;6;0;33;1;14;137;0;0;40;0;2;0;0;81;0
552411;P¯·slavice;1†174;648;55,20;647;640;98,92;57;2;1;44;1;23;64;4;3;2;0;1;49;0;20;230;1;1;68;0;2;3;3;60;1
505013;P¯Ìkazy;1†040;657;63,17;657;652;99,24;60;2;0;60;1;35;61;7;8;8;0;0;51;0;16;215;2;0;35;0;2;3;4;82;0
554103;ÿÌdeË;165;113;68,48;113;113;100,00;5;0;0;4;0;2;12;3;1;0;0;0;12;0;2;46;0;0;2;0;1;0;0;21;2
547077;Samotiöky;1†032;751;72,77;750;739;98,53;96;1;2;25;0;43;45;11;5;9;0;2;88;0;46;203;1;0;77;0;8;3;1;69;4
